"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2140","test_add_product","tests","2025-10-26","passed","2025-10-26","","test_inventory","",""
"","886","test_invalid_login","tests","2025-10-26","passed","2025-10-26","","test_login","",""
"","1533","test_successful_login","tests","2025-10-26","passed","2025-10-26","","test_login","",""
